Name/Title,Phone,Web/Link,Email,Physical Address,Information/Details,Tags
Move Colorado,,https://www.movecolorado.org/about-move-colorado/,,,Rural Transportation resources,Rural; Transportation
Move for Hunger,732-774-0521,https://moveforhunger.org/,,"Neptune, NJ","When people move out, food gets wasted. This company tries to prevent that waste. National organization",Food
Movement 5280,,,,,[Threshold note: MOST SEVERE WEATHER IS ACTIVATED WHEN THE TEMPERATURES DROP TO 32 DEGREES WITH PRECIPITATION OR 20 DEGREES; EXTREME WEATHER ACTIVATES EMERGENCY SHELTERING WITH ZERO DEGREE TEMPERATURE OR SUSTAINED WINDCHILL BELOW ZERO DEGREES FOR >6 HOURS; SPECIFIC THRESHOLDS ARE LISTED BELOW],Housing; Weather-Shelter
Mr. Ballen Foundation,,https://mrballen.foundation/,,,"A fund for victims of violent crimes and the families of the victims, only accepting referrals from our partner org or other victim advocacy professionals. Meant for victims of rape, genocide, homicide, violent crimes against children, sex trafficking, arson, or robbery resulting in death.To be considered, you must apply on the links provided under 'Report a Crime', 'Report Human Trafficking'.",LGBTQ; Medical; Youth-and-Family
Mt Calvary Lutheran Church,719-634-1053,,,1318 N Circle Dr 80909,Wednesdays 10:00am-1:00pm,Veterans
Mt Carmel Veterans Service Center-Next Chapter,719-309-4714  719-772-7000,https://veteranscenter.org/,,"530 Communication Cir, Colorado Springs, CO 80905",See 'Next Chapter',Veterans
MT Ride llc,720-393-0801,,,,Reliable Med Ride,Transportation
Muslim Family Services of Colorado,303-298-8776 After Hours: 303-810-2185,https://mfscolorado.org/,,"Aurora, CO","Advocacy, counseling, support groups, education, & emergency assistance (food, clothing, and short-term housing)",Education; Food; Youth-and-Family
My Colorado Journey,720-273-2944,http://cdhe.colorado.gov/students/preparing-for-college/financial-aid-for-students,,N/A,"Free financial education tools, including info on saving and paying for college",Benefits; Education; Employment
Myron Stratton Senior Living,(719) 579-0930,http://www.myronstratton.org/,,"2525 CO-115, Colorado Springs, CO 80906",Senior Housing/Emergency Housing/Affordable Housing,Elderly
NAMI National Alliance for Mental Illness,303-321-3104,https://namicolorado.org/law-line/,,303-321-3104,They take your information to their legal team and give you advice on your situation,Legal; Unknown
"Nation Indian Council on Aging, Inc.",,https://www.nicoa.org/programs/technical-assistance-and-resource-center/,,,May be able to help with hearing aids/medical expense costs,Medical; Native-Indigenous
National Alliance to End Homelessness,202-638-1526,https://endhomelessness.org/ending-homelessness/,,"1518 K St NW 2nd Floor, Washington DC 20005","National audience that works to end homelessness, no direct services, just a joint effort",Employment; Housing
National Association for Rational Sexual Offense Laws,,narsol.org,,,Against the registry,LGBTQ; Legal; SO
National Call Center for Homeless Vets,877-424-3838,,,,Services to help those vets that are homeless or near to homeless,Veterans
National Center for Missing and Exploited Children,800-843-5678,,,,,Youth-and-Family
National Child Abuse Hotline,800-4-a-child 800-422-4453,or text childhelp to 847411,,,Shelter,Youth-and-Family
National Coalition Against Domestic Violence,1-737-225-3150,ncadv.org,,"Austin, Texas","Resource database for domestic violence survivors, car/vehicle, deaf services, native american/indigenous services",Native-Indigenous; Transportation
National Craniofinancial Association,800-332-2373,http://faces-cranio.org/financial-assistiace,,N/A,Financial assis for med necessary travel to out of town tx for craniofacial cond for indiv and families with monetary barriers to reaching care,Benefits; Medical; Unknown
National Cyber Center,,https://cyber-center.org/,,"3650 N Nevada Ave, Colorado Springs, CO 80907","The NCC’s Cyber Education Program provides cybersecurity leadership through two main pillars: K-12 education with the NCC Student Alliance, and the Cyber Force Initiative (Adult Education). As our nation addresses the critical gap in skilled cybersecurity talent, NCC addresses the importance of cyber education through programs and partnerships that invite students to participate in an ecosystem which encourages them to learn, explore, and build their skills.",Education; Unknown; Veterans
National Domestic Violence Hotline,800-799-7233 SAFE,https://www.thehotline.org/,,Nationwide,"deaf, native american/indigenous, local, legal resources",Legal; Native-Indigenous
National Healthcare for the Homeless Council,,,,,,Medical
National Indian Council on Aging,505-292-2001,https://www.nicoa.org/programs/technical-assistance-and-resource-center/,,"8500 Menaul Blvd. NE Albuquerque, NM 87112, Ste B 470","Resource Database, technical assistance and resource center for those helping elder native americans",Native-Indigenous
National Inst. On Drug Abuse,,neda.nih.gov,,,,Transportation
National Institute On Aging,800-222-2225,nia.nig.gov,,niaic@nia.nih.org,Assistance with the aging population and all issues that come with it,Benefits; Elderly
National Mobility Equipment Dealers Association,1-813-264-2697,https://nmeda.org/,info@nmeda.org,FL,"Transport resources for handicapable vehicles and transportation, resource database",Medical; Resource-Databases; Transportation; Unknown
National Organization for Rare Disorders,800-999-6673,http://rarediseases.org/,,"7 Kenosia Ave, Danbury CT",Financial Assis for medical expenses for those that suffer from rare diseases,Benefits; Medical
National Resource Directory,,nrd.gov,,,Resource Database for military and their family to resources based on their location and need/category,Veterans; Youth-and-Family
National Runaway Switchboard,800-RUNAWAY,,,,Active duty military and retired military members,Elderly; Veterans
Native Crisis Line,741741,,,,Text 'Native' to the phone number listed if you're in crisis,Native-Indigenous
Native Workforce Employment,303-953-6600,https://6nz.1ae.myftpupload.com/native-workforce-program/,,nwp@denverindiancenter.org,"glasses, gas cards, occupational certifications and licensures, bus vouchers, employment readiness",Employment; Native-Indigenous
Navistar Internationa;,,,,,Employer known to hire individuals with felony records.,Employment; Jobs-Felon-Friendly
Nebu Ride,571-344-2863,,,,Reliable med ride,Transportation
Need Help Paying Bills,info@needhelppayingbills.com,https://www.needhelppayingbills.com/html/el_paso_county_assistance_prog1.html#google_vignette,,joncmac@needhelppayingbills.com.,Resource database for everything and all things; espcially paying bills,Employment
Need Project,719-581-2404,needproject.org,,contactus@needproject.org,Assistance and resource database for families with children with special needs,Resource-Databases; Unknown; Youth-and-Family
Neigborhood Assistance Corporation of America,,naca.com/,,,"No down payment or closing costs required, no rrquirement for perfect credit, below-market mortgage rates",Employment
Neighborhood Justice Center,,https://www.4thjudicialda.com/NeighborhoodJustice.html,daonjc_info@elpasoco.com,"105 East Vermijo Ave, 2nd Floor, Room 230",Mediation services for clients that are going in for a court case to express their role and perspective in order to possibly avoid it going to court for the person's issues and concerns.,Legal; Medical
Neighbors Helping Neighbors,,https://www.nhnusa.org/index.html,,,"Mentor and coaches, volunteers for unemployed, underemployed, veterans",Employment; Rural; Veterans
New Horizons,719-344-9433,http://newhorizonfamilyservices.com/,,1702 E Pikes Pk Ave 80909,Youth and Family Counseling,Youth-and-Family
New Life Local Outreach/Church,719-594-6602,https://www.amazon.com/registries/custom/RAZH3LO5MWKW/guest-view,outreach@newlifechurch.org,"11025 Voyager Pkwy, C/S, CO","Food pantry, hygiene, clothes, weather accoutrement, tent, sleeping bag; can donate from amazon",Food
New Life Project thru Springs Rescue Mission,720-882-3412,springsrescuemission.org,,"5 W Las Vegas St, 80903",Helps to get homeless individuals back on their feet,Benefits; Housing
New York Times,,,,,Employer known to hire individuals with felony records.,Employment; Jobs-Felon-Friendly
Newborn Hope,admin@newbornhope.org,newbornhope.org,,80901,Premature baby assistance,Youth-and-Family
Newsweek,,,,,Employer known to hire individuals with felony records.,Employment; Jobs-Felon-Friendly
Next Chapter,719-930-6811   888-719-8387,https://www.nextchapterhouse.com/,nextchapter@mtcarmelcenter.org,"530 Communication Cir C/S, CO 80905","Community wellness program serving vets and their families; Health: counseling services, telehealth therapy, support groups, alternative therapies, retreats; Transition and employment: military career transition, employment workshops, milSpouse Career Program, Vet job coaching, community partnership resources; Services: Housing and food aid, financial coaching and assistance, education programs, legal support, homeless vet outreach",Benefits; Education; Employment; Food; Legal; Medical; Native-Indigenous; Veterans
Next Door Communication Website and App,,nextdoor.com,,,Not a resource database but a useful place to request assistance and local information/etc,Resource-Databases
Nick Wells,,,,,"Got clemency for 50+ charges, works at/with the pheonix center",Employment
Niki,,,,,Employer known to hire individuals with felony records.,Employment; Jobs-Felon-Friendly
Nisource,,,,,Employer known to hire individuals with felony records.,Employment; Jobs-Felon-Friendly
No Cost Drive Through Grocery Program,,,,917 E Moreno Ave,Tuesday-Thursday at 3:00pm until food runs out and Saturday 12:00pm until food runs out; Family Connections through Catholic Charities,Food; Transportation; Youth-and-Family
No Small Acts,,nosmallact.com,,,"Information and Resource Database for political information and lists of way to access older information, political movement",Elderly
NoCo Foundation,970-224-3462,https://nocofoundation.org/,info@nocofoundation.org,,"Assissts NE Colorado, N, NE of Dener, charitable funds",Rural
Nordstrom,,,,,Employer known to hire individuals with felony records.,Employment; Jobs-Felon-Friendly
Northern Trust,,,,,Employer known to hire individuals with felony records.,Employment; Jobs-Felon-Friendly
Nursecore,719-262-0300,nursecore.com,,5043 N Academy Blvd 80918,"CNA, MA, LPN, RN",Medical
O'Charleys,,,,,Employer known to hire individuals with felony records.,Employment; Jobs-Felon-Friendly
Obligations to Aberdeen's Trusted Heroes Act (OATH),,,,,"Former service members who participated in secrecy oath programs that prevented them from disclosing a mission or seeking benefits for service connected illnesses or injuries caused during missions, targeting 1950s-1970st vets vics of mustard gas tests.",Benefits
Office of Family Assistance,www.acf.hhs.gov/ofa,https://www.acf.hhs.gov/ofa,,330 C St SW DC 20201,"Federal guide for grants and resources, native americans/healthy marriage and responsible fatherhood, tribal programs, indigenous resources/resource guide Native American family based assistance",Medical; Native-Indigenous; Youth-and-Family
Office of Homeless Initiatives,DOLA: 303-864-7852,https://doh.colorado.gov/office-of-homeless-initiatives,,,Sub-department of local affairs which is a subdepartment of Department of Housing; does not provide resources directly,Housing
Office of Rental Assistance,,,,,,Benefits; Housing
OIX Inc,,,,,Employer known to hire individuals with felony records.,Employment; Jobs-Felon-Friendly
Old Age Pension,,https://cdhs.colorado.gov/adult-financial-programs,,,"Income for needy, disabled, elderly.",Benefits; Elderly
Old mutt Hut,,https://theoldmutthut.org/,,,A forever home for abandoned senior dogs,Elderly
Old Republic,,,,,Employer known to hire individuals with felony records.,Employment; Jobs-Felon-Friendly
Olive Garden,,,,,Employer known to hire individuals with felony records.,Employment; Jobs-Felon-Friendly
Once Fallen,513-238-2873,https://oncefallen.com/; https://oncefallen.com/links-page/,,"Derek Logue 2211 County Rd 400 Tobias, NE 68453",Resource List for SO/Sex offenders,LGBTQ; SO
One Colorado,303-396-6170,https://www.one-colorado.org/,,"303 E 17th Ave Ste400, Denver CO 80203","Championing equality for LGBTQIAKPN community, state policy, advocacy, health care, education.",Education; LGBTQ; Medical
One Nation Walking Together,719-329-0251,https://www.onenationwt.org/,,"3150 N Nevada Ave, 80907",Will give 1 week hotel voucher for those of indigenous people/native American people to Aspen Lodge,Native-Indigenous; Transportation; Veterans
One Word at a Time,,https://www.onewordcommunity.org/who-we-are,,,Not for profit that encourages literacy in children by connecting classes with authors for virtual visits; professional development opportunities for educators and caregivers; advocacy for independent reading and equitable access to books in schools and public libraries,Education; Youth-and-Family
Online Car Donations,888-228-7320,http://www.workingcarsforworkingfamilies.org/,,onlinecardonastions.org    onlinecardonations.com,"Online Car Donation has provided many absolutely free vehicles to families in need, social service agencies and numerous charitable organizations. We review each vehicle donation request case by case and make the decision to gift a working vehicle based on our findings. domestic violence victims, people with disabilities, homeless families living in shelters, families trying to become self-supporting (off gov't assist), military families and vets, non-profit org",Transportation; Unknown; Veterans
Open bible medical,719-475-0972   719-596-4449,https://openbiblemedical.org/,,"555 E Costilla St, 80903 Tuesdays 5-9 pm; Thursdays 10 am to 2 pm Saturdays 9 am to 1 pm","Pharmacy, free access to medical care and life saving medications to the uninsured, low income",Medical
Open Door Ministries,303-830-2201,odmdenver.org/,,"1567 Marion St, Denver, CO 80218","Open Door Ministries offers housing programs, youth programs for all ages, leadership development, and outreach programs. They have an all-encompassing philosophy of finding what works for everyone in need. Contact their website for details on how to get involved.",Transportation; Youth-and-Family
Open Enrollment,,http://cde.state.co.us/choice/openenrollment,,,Allows children to go to a school of choice if they are not in that district,Education; Youth-and-Family
Open Heart Advocates,970-824-2400,https://openheartadvocates.org/about-us/,,"Craig, CO","24/7 crisis line, emergency shelter, sexual assault support, mental health resources, human trafficking advocacy, crime victim support, & education",Education; LGBTQ; Medical; Unknown
Operation First Response,888-289-0280,http://operationfirstresponse.org/,,"20037 Dove Hill Rd, Culpeper, VA",Supports teh nation's veterans and first responders and their families with financial aid based on individual needs,Benefits; Veterans
Operation Helping Hands,,,FFCOChaplainRMTeam@army.mil,,Program managed by the Fort Carson Religious Support Office providing immediate and direct support for soldiers and their families facing food insecurity.,Elderly; Food; Medical; Unknown; Veterans
Operation Homefront,877-264-3968,http://www.operationhomefront.org/,,3726 E Pikes Peak Ave,Financial Assis. and home repairs to eligible service members and veterans. Rent/Mortgage/Utility/bills/baby items/car payments/car repairs/home repairs/major appliance repairs,Benefits; Employment; Veterans; Youth-and-Family
Operation Pheonix a Grey Team and HOW Foundation Initiative,,https://operationphoenix.greyteam.org/,,,"During this operation, we will provide a space for qualified military veterans to gather and gain comfort from the community, learn to effectively train their minds and bodies, optimize their nutrition, decelerate their “fight or flight” response, and enable psychological recovery from the effects of war.",Education; Food; Veterans
Operation TBI Freedom,855-355-6824,https://craighospital.org/programs/operation-tbi-freedom,,,,Medical
Optum Primary Care,522-1133,600 S 21st St,,,PCP accepts Medicaid,Benefits; Medical
OPUS,719-318-5387 Anne-Marie,https://communityculturalcollective.org/,Info@communityculturalcollective.org,"1 S Nevada Ave STE 110, Colorado Springs, CO 80903",Culinary Program through ?workforce?,Veterans
orgcode.com,1-800-355-0420,https://www.orgcode.com/free-resources,,Canada,Offers free resource database/training classes/organizational input on how to solve/reduce/prevent homelessness,Education; Resource-Databases
Other Side Academy,303-335-9488,https://www.theothersideacademy.com/,,"1859 York St. Denver, CO 80206","The Other Side Academy is not for those seeking a quick fix to a lifetime of poor habits. A student commits to thirty months in-residence, and in many cases, this is instead of serving a prison sentence. The student may not leave campus without staff approval. The Academy does not accept sex offenders, arsonists, “dual diagnosis” applicants, or others who need special counseling we aren’t equipped to offer.",LGBTQ; Veterans
"Our mission is to proactively support wounded, ill, and injured service members in their recovery, rehabilitation, and reintegration or transition to civilian life. To achieve this, we ensure holistic and tailored support is provided to meet the needs and goals of the service members and their families and caregivers. Disability determinations of seriously ill or injured service members before separating from service. Recovery coordination program: non-medical support they need to create teh life they want. Military caregiver support: provide resources and information. Education and employment initiative, career readiness assistance. Operation Warfighter: internship program",719-352-7190,https://www.centurypa.com/senior-living/bridge-colorado-springs/,,"2494 International Cir, 80910",Resources for assissted living,Benefits; Education; Elderly; Employment; LGBTQ; Medical; Veterans
OVC TTAC Office for Victims of Crime Training and Technical Assistance Center,1–866–682–8822,https://cpcontents.adobe.com/public/newlearner/newlearner_b346eb25.html?i_qp_user_id=24575422&accountId=65701&newIpUser=true#/newLearnerExperience,TAC@ovcttac.org,"1 S Nevada Ave STE 110, Colorado Springs, CO 80903","Free training, online for victim advocacy",Education; Veterans
Over the Rainbow Project,720-580-2696,overtherainbowproject.com,,info@overtherainbowproject.com,"LGBTQ+ Re-entry support services: seeking safety, wellness recovery action plan, life skills, parenting, moral reconation therapy (MRT), art recovery, the art of drag, spirituality, recovery yoga, equine recovery therapy, themed group activities, individual therapy, peers",LGBTQ; Medical; Youth-and-Family
Oxford House,,https://www.oxfordhouseco.org/,,,"Multiple Locations | Policy — Sex Offenses: NO, Arson: NO, Life-time sex offender registry: NO, Sex Crimes Last 5 Years: NO, On Any SO list: NO, Children?: Some",Housing; Housing-Felon-Friendly
Oxford House of Colorado,,oxfordhouseco.org,,oxfordvacancies.com,Sober living;mpowering peer-ran atmosphere that supports healthy lifestyle practices and comradery for those seeking long-term recovery,Medical; Veterans
P2P: Parent to parent of Colorado,877-472-7201,https://www.abilityconnectioncolorado.org/p2p-co/,,,"1 to 1 trained support parent matching; private on-line discussions group comprised of more than 2,000 caregivers; additional online forum dedicated to caregivers of individuals with mental health and/or behavioral challenges; virtual support groups/book clubs/presentations; public policy advocacy opportunities",Education; Medical; Unknown; Veterans; Youth-and-Family
Packaging Corp of America,,,,,Employer known to hire individuals with felony records.,Employment; Jobs-Felon-Friendly
PACT ACT,,,,,2022 law that widened access to benefits for veterans care that were exposed to burn pits during thier deployments get extra tx help wth the resulting cancer,Benefits; Legal; Medical; Veterans
PACTIV,,,,,Employer known to hire individuals with felony records.,Employment; Jobs-Felon-Friendly
Palmer Lake Recovery,1-844-958-4284,https://palmerlakerecovery.com/,,"The Recovery Village at Palmer Lake, 443 S Hwy 105, Palmer Lake, CO 80133",Sober living,Rural
Paloma Gardens now called Laurel Gardens,719-227-7162,http://www.voacolorado.org/housing_properties/laurel-gardens,,3140 Mallard Dr 80910,"Senior living for 62+, affordable, run by volunteers of America, looks depressing from the outside in person and online",Elderly
Paloma Terrace One Bedroom Apartment Homes,719-634-7034,https://palomaterrace.com/,,"2910 Sage St, Colorado Springs, CO, 80907","Policy — Sex Offenses: X, Life-time sex offender registry: X, Sex Crimes Last 5 Years: X, On Any SO list: X",Housing; Housing-Felon-Friendly
Pappadeaux,,,,,Employer known to hire individuals with felony records.,Employment; Jobs-Felon-Friendly
Parent Center Hub,973-642-8100,https://www.parentcenterhub.org/welcome-to-the-naptac-library/,,,Native American parental resources hub,Native-Indigenous; Youth-and-Family
Parent Child Interactional Therapy,,pcit.org/for-parents.html,,,Parent=Child Interactional Therapy,LGBTQ; Youth-and-Family
Parent Smart Helpline,720-777-0123,,,,"Free, 24 hrs with nurse, has to be witin Colorado, any medical questions",Medical; Youth-and-Family
Parents Challenge,719-306-8557,https://parentschallenge.org/,info@parentschallenge.org,,"Overcoming history of educational failures by parental empowerment, scholarships and grants, student services, community engagement",Education; Youth-and-Family
Park View,719-471-3468,http://www.olivebark.com/,,"1470 S. Chelton Rd., Colorado Springs, CO","Policy — Sex Offenses: X, Violence Against Other Person: X, Destruction of Property: X, Controlled Substance: X",Housing; Housing-Felon-Friendly
Parole Continuity of Care Referral and tx coord. framework,,CDOC Parole Continuity of Care Referral and Treatment Coordination Framework.pdf,,,How parole should work on building up parole clients treatment so there's no big gap in care,Legal; Medical
Parole House Referral,719-445-1994,,rockenterprize5150@gmail.com,"Community Anchor Academy will give you a referral, just ask for Mr. Rock","Can offer housing to those on parole/off parole in last year housing referral can get in easily, no $ up front",Legal
Parole Officer for ISP-I,303-681-5786,,Juan.Sauceda@state.co.us,,,Legal
Parole Vouchers/Free,,,,,"Vouchers for bus passes and Hazelbrook, if out of replacement social security cards the PO can write a letter requesting one. Give out a free phone on Thursdays",Legal; Transportation; Unknown
Partners in Housing,719-473-8890,,office@partnersinhousing.org,455 Gold Pass Heights 80906,"Single parent sober living (limited occupancy), furniture from donations (free), meets minimum employment requirements to get your benefits reinstated if DHS cancels them due to lack of employment",Benefits; Elderly; Employment; Transportation; Youth-and-Family
Party City,,,,,Employer known to hire individuals with felony records.,Employment; Jobs-Felon-Friendly
PASCO Personal Assistance Services of Colorado,719-960-4995,https://pascohh.com/,,6385 Corporate Dr Ste 303 80919,"Helps those with special needs/mental health needs by offering: training families for becoming caregivers/CNAs, in home support services, respite care, care plans that are client directed, veterans care/their spouses, private duty nursing, therapy for children and family,",Education; Medical; Unknown; Veterans; Youth-and-Family
Pathways,,,,,DHS help with Juvenile Delinquents,Youth-and-Family
Pathways in DHS,,,,,Helps Juvi Cases/Children,Youth-and-Family
Pathways to Removing Obtacles o Housing (PRO Housing),,hud.gov/press/press_releases_media_advisories/hud_no_25_017,,,Help with breaking past barriers to building/rebuilding/repairing/creating/converting buildings into housing,Medical
Patient Access Network Foundation,866-316-7263,https://panfoundation.my.site.com/s/login,,"1032 15th St NW, Ste 413, DC","Offers grants to assist with out of pocket medication copay costs, Health Insurance Premiums, Transport for activities that benefit overall health; income below/at federal poverty level, dependent on household size, reside in US, tx in US, receiving treatment/prescribed covered by fund",Benefits; Elderly; Employment; Medical; Transportation
Paws 'n' Hooves,719-500-1880,https://www.pawsnhoovescolorado.org/,pawhoofcolorado@gmail.com,"15954 Jackson Creek Pkwy Ste B # 574 Monument, CO 80132",Helps save the abandoned/neglected animals and find them loving forever homes,Rural
Pawsitive K9 Solutions CO,719-251-9746,https://www.pawsitivek9solutionsco.com/,pawsitivek9solutionsco@gmail.com,"221 Columbia Ave Swink, CO 81077",Dog resources for all of Colorado,Rural
Pawsitive Pathways,,pawsitivepathwaysco.com,,,"Resource List for statewide pet resources, nonprofit canine rehab program, helping difficult cases to find their forever homes",Medical
Pawsitive Recovery,720-213-6604,https://www.spcai.org/our-work/pawsitive-recovery,,"https://pawsitive-recovery.com/  4905 S !uintero Cir, Aurora CO",Takes care of animals/dog while their owners are in recovery/halfway housing for addiction,Housing; Medical; Transportation
Payne Chapel AME Church,(719) 358-9314,https://paynechapelamechurch.org/,,"3625 Marion Dr, Colorado Springs, CO 80909",Affordable Housing,Employment
PCs for people,651-354-2552,https://www.pcsforpeople.org/,,Denver CO,"Computers, IT, computer assistance for low income individuals",Benefits
"PeaceWorks, Inc.",303-838-8181,https://peaceworksinc.co/,,"Park & Jefferson Counties, CO","24/7 crisis line, emergency shelter, legal support, advocacy, emergency pet shelter, mobile advocacy, therapy, support groups, & education",Education; Legal; Rural
Peak City Athletics Camp Balagi CO-Jamil Cooks,719-661-7393,https://www.peakcityathletics.com/,info@peakcity-athletics.com,"1650 S Circle Dr, Colorado Springs, CO, 80910",Youth Football camp and sober hang out,Youth-and-Family
Peak Education,719-389-1249,peakedu.org,,117 S Wahsatch Ave 80903,"Initially conceived as a scholarship-based incentive program, over more than two decades Peak Education has evolved into a mentoring and college access organization that provides long-term engagement with students and families focused on four strategies for success: developing college and career readiness, building students’ capacity for leadership, fostering full family engagement in their students’ journeys, and creating broad-based community connections.",Education; Employment; Youth-and-Family
Peak Parent Center-Family Connections- Catholic Charities,719-531-9400,peakparent.org/,,"917 E Moreno Ave. Ste 140, C/S","Helping families with children with disabilities, resources, advcates,trainings, including Spanish resource library",Education; Youth-and-Family
Peak View Behavioral Health,719-694-0220,https://peakviewbh.com/,,"7353 Sisters Grove, C/S, CO 80923","Mental/behavioral/psychiatric assistance, inpatient and outpatient, for youth as well, detox, takes medicaid, tricare, medicare, private, cash",Benefits; Medical; Unknown; Veterans; Youth-and-Family
Peak Vista,719-632-5700,https://www.peakvista.org/,,https://www.peakvista.org/locations,"Will take patients even if they can't pay, free/sliding scale; https://www.peakvista.org/services/first-visitor : Our First Visitor program provides FREE, one-on-one support for parents and caregivers in the comfort of their own home. We provide emotional support, connect parents and caregivers with free community resources, and share information on health, nutrition, safety, and important developmental milestones. First Visitor partners with Zero To Three, a statewide organization that provides our evidence-based materials and together our purpose is to help make Colorado the best place to raise a child under the age of five. free home visits which include gift for baby/toddler, info on child development, dey tag w/ age-appropriate activities, community resources",Employment; Food; Medical; Unknown; Youth-and-Family
Peaks Recovery Centers,719-345-1025,https://peaksrecovery.com/?utm_campaign=gmb,,2270 La Montana Wy Ste 200 80918,"Substance Abuse Alcohol Abuse Trauma and PTSD Treatment Services offered in Spanish PHP (Partial Hospitalization Program)Psychiatry Services, Detox Resdidential rehab program weekly individual therapy,2-4 week of programming, Medicaid Assisted treatment; private insurance or cash; in patient; tx; mental health, dd tx",Benefits; Medical; Unknown; Veterans
Peer Connect,303-502-4972,,asaeed@peersconnect.org,112 Iowa Ave #3 80917,"Possibly help with laundry, support groups, resources, referral",Benefits
Penrose Hospital,719-776-5000,,,,,Medical
People Ready,719-632-1883,peopleready.com,,2216 E Pikes Peak Ave 80909,"Includes: professional, healthcare, admin, manufacturing, engineering, management, IT, accounting, warehouse, sales, labor, construction, and hospitality",Medical
People's Church,719-210-3121,http://www.thepeopleschurch.online/,,402 Conejos St 80903,"Homeless outreach, provides sleeping bags, food, clothes to the homeless",Food
Pepsi-Co,,,,,Employer known to hire individuals with felony records.,Employment; Jobs-Felon-Friendly
Perkins Restaurants,,,,,Employer known to hire individuals with felony records.,Employment; Jobs-Felon-Friendly
Permanent Supportive Housing,,https://endhomelessness.org/resource/housing-first/,,,,Housing
PetSmart,,,,,Employer known to hire individuals with felony records.,Employment; Jobs-Felon-Friendly
Pheonix Multisport Center,719-434-3387,https://thephoenix.org/,,"2204 Hagerman St, Colorado Springs, CO, 80904","Sober Living Activities, free if you're in recovery. Check their calendar before you try to join/go.",Housing; Medical
Phillip Morris,,,,,Employer known to hire individuals with felony records.,Employment; Jobs-Felon-Friendly
Pike Ride   bike   bicycle,719-235-5862,https://www.pikeride.org/pikerideforall,,"739 E Pikes Peak Ave, C/S info@pikeride.org","If you're on benefits, WeRide is a $20 annual membership for anyone that can prove they're on assistance 90 minutes of ride time/day; Lease: $25/month; FULL ON LEASING, must have proof of benefits",Benefits; Transportation
Pikes Peak  Family Success Center,719-632-1543,https://www.facebook.com/p/Pikes-Peak-United-Way-Family-Success-Center-61559749563332/,,1520 Verde Dr,"Part of/vice versa of United Way; employment assistance, counseling, wrap around services",Employment; Youth-and-Family
Pikes Peak Area Agency on Aging,,https://ppacg.org/pikes-peak-area-agency-on-aging/,,,"help older people live independently in their own homes. Funding for services comes through the federal Older Americans Act and the State of Colorado. A person must be 60 years of age or older, some exceptions",Elderly
Pikes Peak Chapter of American Red Cross,719-632-3563,https://www.redcross.org/local/colorado/about-us/Locations/southern-colorado.html?srsltid=AfmBOorrKN9-wVOi7T4ZXNKuNmrJ6dZOhKhkW2hLBDplQqs0gwD8PSC9,,1040 S 8th St C/S 80905,"Helps with natural disasters, fires (personal and widespread); blood donation; military and their family members with challenges of military services; teaches cpr/first aid, lifeguarding, swimming, water safety and more.",Veterans; Youth-and-Family
Pikes Peak Community Action Agency,(719) 358-8396,,,"31 N Tejon St #310, Colorado Springs, CO 80903",Emergency Housing,Housing
Pikes Peak Community Foundation,719-289-1251,ppcf.org,,"315 E Pikes Peak Ave, #120 C/S CO 80903",Local charity financial assistance for Pikes Peak,Benefits
Pikes Peak Continuum of Care,719-632-5094,https://www.ppchp.org/wp-content/uploads/2021/11/Pikes-Peak-Continuum-of-Care-3-Year-Strategic-Plan.pdf,,,"A program that works to mitigate homelessness by helping to prevent reoccurence, initally happening.",Employment; Housing; Transportation
Pikes Peak Justice and Peace Commission,,peakjpc.org,,,Teaches the community about homelessness and affordable housing as well as teaching and hosting peaceful protests,Legal
Pikes Peak Library District Small Business Benefits,,,,,Lifestyle Database via 'data axle' (teaches about what interests an individual has so as to know if they want your product); Market Analysis via Experian (look for customer archtype based on demo/psychographic); Market Analysis Pt. II via SizeUp (comparing your business to others),Benefits
Pikes Peak Library District-Adult Education,719-531-6333,https://ppld.org/adult-education,,,Free GED courses for library patrons.,Education
Pikes Peak Marine Corps League,,pikespeakmcl.org,,Colorado Springs,"Toys for tots, fellow Marines find companionship and understanding with fellow Marines",Veterans
Pikes Peak Military Veteran Widows Monthly Meeting,719-331-5689,Last Wednesday of each month,,,Support group for veteran surviving spouses,Veterans
Pikes Peak Odd Fellows Housing,(719) 632-1556,,,"1912 Eastlake Blvd, Colorado Springs, CO 80910",Senior Housing/Emergency Housing/Affordable Housing,Elderly
Pikes Peak Post Acute,(719) 636-1676,pikespeakpa.com,,2719 N Union Blvd 80909,"Long-term and post care (surgery/accident/illness/etc) for rehabilitation; provides speech therapists, physical and occupational therapy",Medical; Unknown
Pikes Peak Region Family Child Care Association,(719) 475-8828,https://cosfamilychildcare.com/,,,Resources to find licensed child care in El Paso County.,Youth-and-Family
Pikes Peak United Way,719-632-1543,http://www.ppunitedway.org/,,518 N Nevada Ave 80903,"Helps with family and youth with job oppor, mentorship, etc; resource database",Employment; Resource-Databases; Veterans; Youth-and-Family
Pikes Peak Veteran Housing Fund,719-323-2600,https://coloradosprings.gov/veteranhousingfund,,"landlord-info@rmhumanservices.org 17 S Weber 1120 N. Circle Drive, Suite 230
Colorado Springs, CO 80909",Helps veterans at risk of homelessness/unhomed to get into housing. Financial assistance to veets to help them obtain housing as well as offering compensation to landlords if damages and unpaid rent are incurred.,Benefits; Transportation; Veterans
